basin,year,tax_bray,bio_bray,eco_bray
BE01,1996,0.679958543,0.313916792,0.252663431
BE01,1997,0.704881995,0.298085167,0.249036853
BE01,1998,0.71363072,0.364221866,0.253141391
BE01,1999,0.697932733,0.304957798,0.231508481
BE01,2000,0.610971412,0.295417398,0.199716197
BE01,2002,0.633128752,0.288534333,0.193299204
BE01,2004,0.696864078,0.366797683,0.236215425
BE02,1995,0.798912758,0.44387546,0.296071616
BE02,1996,0.779923011,0.428956654,0.306887023
BE02,1997,0.790853328,0.432558075,0.284090655
BE02,1998,0.802170468,0.446217199,0.318707783
BE02,1999,0.810776574,0.482913785,0.345447112
BE03,2000,0.778659658,0.426605929,0.299809313
BE03,2002,0.780674029,0.402389739,0.326016915
BE03,2003,0.781419625,0.442515328,0.289434391
BE03,2004,0.761788416,0.405939485,0.287067873
BE03,2005,0.766239016,0.405897611,0.274545528
BE04,1999,0.765294966,0.51750681,0.345718562
BE04,2000,0.776677974,0.496185662,0.381970467
BE04,2002,0.814048858,0.483115267,0.378500633
BE04,2003,0.795129989,0.352246705,0.274526712
BE04,2005,0.735181511,0.525100431,0.345649704
BE04,2007,0.742092829,0.410822357,0.310168756
BE04,2008,0.749539577,0.41501997,0.326805401
BE04,2009,0.736603464,0.420443595,0.328172786
BE04,2010,0.701130004,0.356672491,0.273140577
BE04,2011,0.757105995,0.412560052,0.301076539
BE04,2013,0.727045378,0.37060737,0.264660125
BE04,2015,0.798503825,0.422982163,0.317731998
BE04,2016,0.770704367,0.426876312,0.275769867
BE04,2018,0.799442823,0.439946419,0.313148684
BE04,2019,0.789395162,0.490912771,0.327987457
BE04,2020,0.79916451,0.454211779,0.337398729
BE04,2022,0.787345615,0.500458932,0.337826338
BE04,2023,0.804236166,0.456882659,0.307527594
BE05,1995,0.692379849,0.317917471,0.20736622
BE05,1996,0.690097481,0.396411224,0.240971454
BE05,1997,0.6340886,0.316370174,0.198346119
BE05,1999,0.677729174,0.381246903,0.200420451
BE05,2001,0.698943059,0.249400616,0.148255716
BE05,2002,0.676109622,0.246512573,0.141926901
BE05,2003,0.66332469,0.295214563,0.172298369
BE05,2004,0.68893879,0.34019528,0.161779042
BE05,2005,0.670893833,0.298776959,0.151888102
BE05,2006,0.699684709,0.328859498,0.183877718
CR01,2013,0.873187764,0.501514856,0.436742453
CR01,2014,0.88596625,0.565489693,0.448418676
CR01,2015,0.84049097,0.538607717,0.416563505
CR01,2016,0.844901978,0.507450888,0.404453502
CR01,2017,0.814962469,0.546612771,0.393301289
CR01,2018,0.910652532,0.603279625,0.399270273
CR01,2019,0.90861594,0.650652138,0.37483681
CR01,2020,0.868975313,0.553503296,0.38324054
CR01,2021,0.867170034,0.594263591,0.430230202
CR02,2012,0.786814029,0.350417378,0.240890095
CR02,2013,0.755605724,0.41117109,0.188846573
CR02,2014,0.747473344,0.368388471,0.203582167
CR02,2015,0.729646186,0.43445452,0.188999124
CR02,2016,0.758700605,0.380438582,0.182542579
CR02,2017,0.720216664,0.355287948,0.198542709
CR02,2018,0.839544302,0.473241661,0.246062096
DE01,1999,0.661831198,0.315141286,0.199890212
DE01,2000,0.761560551,0.462054711,0.221063345
DE01,2001,0.748768473,0.417837382,0.208448782
DE01,2002,0.731439047,0.283995904,0.184983722
DE01,2003,0.767234094,0.367008752,0.199746538
DE01,2004,0.806625794,0.402630516,0.217575154
DE01,2005,0.789077309,0.399976138,0.210292128
DE01,2006,0.790486976,0.438278132,0.218781984
DE01,2007,0.747468253,0.365736324,0.208757635
DE01,2008,0.68632547,0.300564124,0.248228083
DE01,2009,0.818700773,0.463510846,0.263229045
DE01,2010,0.798596277,0.435167756,0.214893098
DE01,2011,0.714836719,0.387888409,0.156785596
DE01,2012,0.712178877,0.370941296,0.209322728
DE02,1999,0.843982816,0.530511931,0.415838748
DE02,2000,0.856498591,0.554987381,0.422545995
DE02,2001,0.856950345,0.641896528,0.456347696
DE02,2002,0.847913946,0.563642383,0.448808361
DE02,2003,0.917827634,0.649987545,0.445026567
DE02,2004,0.899718017,0.53352523,0.426060539
DE02,2005,0.871700381,0.574879687,0.446334666
DE02,2006,0.877438456,0.552494203,0.442140088
DE02,2007,0.864019637,0.590650826,0.428538605
DE02,2008,0.825449035,0.506161216,0.436356695
DE02,2009,0.86613053,0.62096461,0.465875249
DE02,2010,0.88245955,0.566379595,0.432321526
DE02,2011,0.861079582,0.644715271,0.453060747
DE02,2012,0.875897501,0.633629141,0.441538572
DE02,2013,0.849295518,0.646177084,0.464109603
DE02,2014,0.840229696,0.576655559,0.457758697
DE02,2015,0.858689296,0.544698705,0.421426063
DE02,2016,0.879116408,0.569951579,0.416798732
DE02,2018,0.864164649,0.566664886,0.38315537
DE03,2002,0.706648322,0.389772142,0.157234568
DE03,2003,0.736746832,0.436168585,0.199489691
DE03,2004,0.69591239,0.312317137,0.214875907
DE03,2005,0.649387538,0.375620851,0.198125504
DE03,2006,0.669516764,0.368792472,0.186645621
DE03,2007,0.743671861,0.362410164,0.187293593
DE03,2008,0.79713986,0.399313415,0.207831903
DE03,2009,0.922372587,0.338488308,0.240768415
DE03,2010,0.791554748,0.407926565,0.18591701
DE03,2011,0.780863626,0.457573303,0.222450219
DE03,2012,0.681333076,0.366289214,0.169345302
DE03,2013,0.712328277,0.397054539,0.221161006
DE03,2014,0.805516783,0.44769906,0.222162389
DE03,2015,0.735744984,0.367248498,0.173328782
DE03,2016,0.735471128,0.363163854,0.160911242
DE03,2018,0.757629747,0.386062328,0.177355784
DE04,2000,0.894086496,0.419384653,0.201465978
DE04,2001,0.755067568,0.392989405,0.206358364
DE04,2002,0.672483221,0.351374076,0.191025558
DE04,2003,0.796980532,0.388130314,0.238945515
DE04,2004,0.844489692,0.384246625,0.264488088
DE04,2005,0.83407687,0.368897155,0.220291553
DE04,2006,0.692996196,0.227751429,0.177262394
DE04,2007,0.808717867,0.328440402,0.201492308
DE04,2008,0.748089359,0.316616979,0.222584328
DE04,2009,0.740056818,0.33290186,0.225897983
DE04,2010,0.79741205,0.418018991,0.264556415
DE04,2012,0.757824525,0.341314418,0.183733126
DE04,2013,0.782246549,0.463710005,0.282791965
DE04,2015,0.849113924,0.504454214,0.264685527
DE04,2016,0.763636364,0.414992638,0.172434534
DE04,2018,0.782743637,0.498679093,0.22978531
DE05,1999,0.858353666,0.495746853,0.357819177
DE05,2000,0.826627707,0.473152461,0.361038707
DE05,2001,0.89367559,0.432196483,0.342539914
DE05,2002,0.85569607,0.477661926,0.306889921
DE05,2003,0.873335454,0.548623119,0.414233804
DE05,2004,0.884748563,0.529862527,0.400283506
DE05,2005,0.839466992,0.473834099,0.351197526
DE05,2006,0.862167819,0.565367897,0.366140093
DE05,2007,0.91641122,0.599484121,0.383027546
DE05,2008,0.871989105,0.535254138,0.36525293
DE05,2009,0.866308286,0.52810634,0.399413319
DE05,2010,0.854964847,0.487426312,0.370072858
DE05,2011,0.849683694,0.537383837,0.346517866
DE05,2012,0.886281188,0.498441901,0.330292514
DE05,2013,0.875260688,0.633956745,0.37023689
DE05,2014,0.885254868,0.588784382,0.362477263
DE05,2015,0.886398843,0.48185916,0.345379624
DE05,2016,0.837373134,0.560446525,0.359656864
DE05,2018,0.869121303,0.570027065,0.406346814
DE06,1999,0.982047488,0.686228995,0.41057031
DE06,2000,0.956930673,0.662327659,0.375984793
DE06,2001,0.843177429,0.620051295,0.335175284
DE06,2002,0.91626421,0.621272371,0.310769496
DE06,2003,0.944440614,0.580386471,0.33373716
DE06,2004,0.92299132,0.564314948,0.314593311
DE06,2005,0.907131742,0.577699086,0.384120953
DE06,2006,0.927513847,0.540967097,0.325584419
DE06,2007,0.848928513,0.530572368,0.340806753
DE06,2008,0.855874758,0.556546705,0.316129704
DE06,2009,0.827889239,0.525088976,0.306705782
DE06,2010,0.952279229,0.583384925,0.396262686
DE06,2012,0.883039614,0.583732231,0.352640938
DE06,2013,0.888078455,0.536601675,0.331655905
DE06,2015,0.896331004,0.521929785,0.359835778
DE06,2015,0.905185879,0.577733789,0.350728683
DE06,2018,0.862157534,0.595721479,0.332481572
DE07,2003,0.888680888,0.580213374,0.340476065
DE07,2004,0.886434461,0.580374875,0.30471688
DE07,2005,0.880165441,0.581778668,0.325838639
DE07,2006,0.894463849,0.576883295,0.317809471
DE07,2007,0.862678946,0.523301528,0.292377569
DE07,2008,0.781238871,0.460208168,0.271118087
DE07,2009,0.799339987,0.505464825,0.313089629
DE07,2010,0.810756762,0.549756227,0.353122137
DE07,2011,0.852457956,0.670184557,0.328850537
DE07,2012,0.844200412,0.577869382,0.327765347
DE07,2013,0.821999488,0.570406618,0.327609087
DE07,2014,0.851043395,0.575472201,0.332326089
DE07,2015,0.858629996,0.542688265,0.329134399
DE07,2016,0.905495026,0.675431775,0.338534467
DE07,2018,0.828566016,0.591029473,0.324632537
DE08,1998,0.73108702,0.493350182,0.201846249
DE08,1999,0.770461363,0.389373145,0.226883684
DE08,2000,0.842027951,0.477486699,0.191095598
DE08,2001,0.776454276,0.441862429,0.183612139
DE08,2002,0.794142461,0.38158081,0.226425108
DE08,2003,0.76075367,0.617503492,0.210623721
DE08,2004,0.868014853,0.497499306,0.229406876
DE08,2005,0.8592748,0.532896369,0.228487117
DE08,2006,0.758072213,0.547384966,0.182098833
DE08,2007,0.90869468,0.445206415,0.255550526
DE08,2008,0.84213949,0.467698373,0.242683707
DE08,2009,0.818057022,0.477761125,0.239593573
DE08,2010,0.7741686,0.351292325,0.213670784
DE08,2012,0.914863641,0.452590575,0.23914922
DE08,2013,0.776150628,0.429533305,0.243645342
DE08,2014,0.869397218,0.566917551,0.229881964
DE08,2015,0.625107976,0.357289321,0.196067539
DE09,2003,0.740997774,0.383809847,0.233140918
DE09,2004,0.762517518,0.363156572,0.21775636
DE09,2005,0.778252693,0.45092015,0.274760276
DE09,2006,0.760641812,0.450396105,0.29813538
DE09,2007,0.781663703,0.392562383,0.235398691
DE09,2008,0.721947108,0.33305876,0.232677781
DE09,2009,0.701294294,0.37996584,0.213058368
DE09,2010,0.742753198,0.376462289,0.200832315
DE09,2012,0.863537653,0.561455711,0.241019307
DE09,2013,0.724441591,0.461191427,0.22464297
DE09,2014,0.840282126,0.49859633,0.243844377
DE09,2015,0.833487437,0.508079267,0.219830727
DE09,2016,0.74895536,0.558212159,0.234250368
DE09,2018,0.838352039,0.529254377,0.228612077
FI01,2010,0.646918423,0.240268983,0.23917703
FI01,2011,0.6718179,0.285119739,0.237874289
FI01,2012,0.650302401,0.248353098,0.208959264
FI01,2013,0.688229928,0.285147112,0.229728072
FI01,2014,0.672002093,0.288948226,0.245531639
FI01,2015,0.70039244,0.290882897,0.272643309
FI01,2016,0.685630752,0.257925209,0.230191781
FI01,2017,0.67192496,0.246644695,0.182265529
FI01,2018,0.737194593,0.36448929,0.294383432
FI02,2000,0.821291826,0.395376476,0.300898973
FI02,2001,0.819753221,0.312941984,0.302342793
FI02,2002,0.867378085,0.396173355,0.273709767
FI02,2003,0.863870321,0.426746274,0.271392895
FI02,2004,0.799886468,0.395533393,0.222785803
FI02,2005,0.833968031,0.3478123,0.269535725
FI02,2006,0.887294136,0.403459845,0.347891651
FI02,2007,0.86844384,0.438717945,0.238930644
FI02,2008,0.838604617,0.386666356,0.240460435
FI02,2009,0.835515738,0.32669283,0.247861439
FI02,2010,0.828825813,0.402788747,0.290866997
FI02,2011,0.835989865,0.367372136,0.277422935
FI02,2012,0.79907109,0.383974218,0.262004933
FI02,2013,0.790986412,0.351434942,0.252077008
FI02,2014,0.813806932,0.330646468,0.290113351
FR01,1994,0.735251676,0.358568998,0.210401501
FR01,1995,0.78041543,0.42843897,0.211028652
FR01,1996,0.801161946,0.404547411,0.203232822
FR01,1997,0.774649841,0.4233151,0.181623647
FR01,1998,0.729395338,0.367348287,0.200298254
FR01,1999,0.802596085,0.425024028,0.190049083
FR01,2000,0.762180388,0.447390388,0.13055396
FR01,2001,0.742853981,0.395187376,0.180089378
FR02,2008,0.825603092,0.426004028,0.245747848
FR02,2009,0.894755794,0.431221252,0.208952136
FR02,2010,0.853773161,0.361821633,0.206065742
FR02,2011,0.888184986,0.483141691,0.239683583
FR02,2012,0.903352467,0.353052814,0.219724567
FR03,2009,0.784167859,0.361390925,0.253840898
FR03,2010,0.760006864,0.421523874,0.230577655
FR03,2011,0.794484373,0.391356849,0.259614457
FR03,2012,0.793621197,0.386044838,0.259336816
FR03,2013,0.758929243,0.330183277,0.230309862
FR04,2008,0.725396448,0.412374599,0.140939176
FR04,2009,0.806793766,0.415952268,0.187423866
FR04,2010,0.77767525,0.404748057,0.189573242
FR04,2011,0.747712701,0.395263311,0.182126343
FR04,2012,0.711583795,0.393406977,0.200707083
FR04,2013,0.741829098,0.447823694,0.156317141
FR04,2015,0.795319143,0.398734691,0.211757924
FR05,2008,0.839889754,0.603200962,0.318626407
FR05,2009,0.865926807,0.610148381,0.311452558
FR05,2010,0.848470163,0.547406772,0.333980419
FR05,2011,0.874567518,0.618727157,0.355034397
FR05,2012,0.885848502,0.577946635,0.26567515
FR05,2013,0.853932837,0.604357896,0.282319619
FR05,2014,0.883901645,0.588220867,0.322755654
FR05,2015,0.880507188,0.579709223,0.355945404
FR06,2003,0.815531178,0.518284166,0.281291984
FR06,2004,0.821203341,0.521030024,0.287166331
FR06,2005,0.776715427,0.482705294,0.274863453
FR06,2006,0.821057511,0.545771762,0.273215309
FR06,2007,0.803228457,0.506596702,0.281658037
GE01,2009,0.622636249,0.216375442,0.150988192
GE01,2010,0.638763419,0.209896515,0.156534061
GE01,2012,0.637289379,0.251838467,0.180571635
GE01,2013,0.630069978,0.232514007,0.150787012
GE01,2015,0.67840174,0.28786398,0.219575425
GE01,2016,0.6551313,0.249739663,0.199866645
GE01,2017,0.629176128,0.209894505,0.148084325
GE01,2018,0.663768144,0.266004282,0.204991703
GE01,2019,0.651477014,0.239919708,0.168797413
GR01,2018,0.794275082,0.470111409,0.304333855
GR01,2019,0.77752925,0.449832933,0.294068645
GR01,2020,0.80269673,0.501398341,0.272597608
GR01,2021,0.786092178,0.443280875,0.286311717
GR01,2022,0.786642999,0.43783721,0.316729729
GR01,2023,0.787064973,0.455624283,0.33084284
GR02,2018,0.769813303,0.38221386,0.274144476
GR02,2019,0.678416554,0.246488557,0.177072277
GR02,2020,0.720701978,0.313765891,0.18268199
GR02,2021,0.759122583,0.346765459,0.21405627
GR02,2022,0.693926413,0.301731254,0.154344558
GR02,2023,0.761516682,0.402209718,0.257491696
GR03,2018,0.805861977,0.341244744,0.224304994
GR03,2019,0.816035323,0.363981788,0.271796311
GR03,2020,0.757184055,0.36034297,0.197980351
GR03,2021,0.773457144,0.382806374,0.213276922
GR03,2022,0.78526201,0.380958072,0.207856238
GR03,2023,0.810894037,0.393725323,0.227037235
GR04,2013,0.790624407,0.371357465,0.365861427
GR04,2015,0.757328518,0.30179383,0.191542214
GR04,2018,0.641166958,0.306937261,0.13639756
GR04,2021,0.629487806,0.297169469,0.141244911
GR04,2023,0.670070203,0.261131723,0.160553998
HU01,2008,0.958946379,0.741984524,0.683015977
HU01,2009,0.976537071,0.742359374,0.702065565
HU01,2010,0.964226288,0.745335521,0.724206044
HU01,2011,0.965717627,0.755851812,0.692753227
HU01,2012,0.952110382,0.725191041,0.677444814
HU01,2013,0.949345694,0.725617072,0.666107606
HU01,2014,0.958236307,0.741163408,0.693206991
HU01,2015,0.974284738,0.734214182,0.689096689
HU01,2016,0.98761049,0.739731396,0.703238962
HU01,2017,0.978199923,0.733400505,0.696628627
IR01,2003,0.912639405,0.518246094,0.48745661
IR01,2004,0.881596825,0.50388114,0.403423574
IR01,2005,0.879933296,0.523428566,0.455214956
IR01,2006,0.879241209,0.487232876,0.382819684
IR01,2007,0.898063825,0.563346827,0.434921107
IR01,2008,0.870025607,0.516157534,0.393360995
IR01,2009,0.886450961,0.544616013,0.456440958
IR01,2010,0.890403803,0.552362833,0.437338128
IR01,2011,0.892160219,0.550114996,0.407577056
IR01,2012,0.889106693,0.573210023,0.472373931
IR01,2013,0.896671341,0.559284127,0.444357445
IR01,2014,0.908519625,0.519680298,0.434993702
IR01,2015,0.873837899,0.572862928,0.4178031
IR01,2016,0.883398462,0.551640844,0.451187474
IR01,2017,0.881531044,0.589067419,0.41905124
IR01,2018,0.883739777,0.564588207,0.415352482
LI01,2010,0.958697898,0.800888957,0.715892137
LI01,2012,0.945164725,0.785352361,0.666439125
LI01,2013,0.944789606,0.766393035,0.661308597
LI01,2014,0.958656904,0.782053465,0.679983535
LI01,2015,0.948645441,0.783981998,0.664751316
LI01,2016,0.947922938,0.767300052,0.658560409
LI01,2017,0.95752337,0.782884143,0.653180077
LU01,2007,0.907254839,0.721473522,0.416509917
LU01,2008,0.909044941,0.702794516,0.398205961
LU01,2009,0.891062794,0.688128839,0.410299192
LU01,2011,0.897762761,0.692267363,0.43174749
LU01,2012,0.879950546,0.686203471,0.401211011
LU01,2013,0.894883722,0.69752375,0.421298281
LU01,2014,0.900174827,0.686544211,0.418697571
LU01,2015,0.908242071,0.682820212,0.42880038
LU01,2016,0.898129885,0.69241668,0.391771944
LU01,2017,0.90339878,0.713460183,0.420187313
NE01,2008,0.780422265,0.459533339,0.281550263
NE01,2009,0.809760647,0.502887318,0.24854398
NE01,2010,0.807568748,0.468993629,0.250127741
NE01,2011,0.773506659,0.436771263,0.252971629
NE01,2012,0.744599381,0.437817853,0.280334647
NE01,2013,0.809326853,0.493915106,0.252286018
NE01,2014,0.732638756,0.396040803,0.158782345
NE01,2015,0.737195063,0.381671726,0.206780173
NE01,2016,0.721954871,0.382103645,0.151012082
NE01,2017,0.768634557,0.36429146,0.181406677
NE01,2018,0.747657539,0.396715153,0.151250086
NE01,2019,0.711022589,0.382821462,0.145476043
SP01,1997,0.782673478,0.472319999,0.234659321
SP01,1998,0.749130536,0.420112925,0.244414138
SP01,1999,0.845310628,0.456042845,0.229150343
SP01,2000,0.7955362,0.38171998,0.212747236
SP01,2001,0.802530502,0.412211272,0.260337101
SP01,2002,0.82437105,0.404603328,0.207503276
SP01,2003,0.840366008,0.431871438,0.274116017
SP01,2004,0.768847846,0.381051083,0.264662305
SP01,2005,0.792448988,0.416137231,0.157710541
SP01,2006,0.769904196,0.405289715,0.172528302
SP01,2007,0.734656674,0.382863011,0.147800728
SP01,2008,0.760228571,0.402275596,0.228356384
SP01,2009,0.729844571,0.369411374,0.206364019
SP01,2010,0.809326337,0.409863978,0.201575616
SP01,2011,0.763727121,0.379144598,0.180415064
SP01,2012,0.730877743,0.379327763,0.198917129
SP01,2013,0.790768017,0.401776428,0.214151784
SP01,2014,0.79789272,0.38264904,0.224792478
SP01,2015,0.727418673,0.385943337,0.183431635
SP01,2016,0.929568432,0.479820517,0.262641209
SP02,2007,0.911527641,0.577801715,0.358148029
SP02,2008,0.893105472,0.605036474,0.392752825
SP02,2009,0.892171054,0.571872844,0.357301798
SP02,2010,0.89927491,0.550098437,0.402575652
SP02,2011,0.889463468,0.514406292,0.372551026
SP02,2012,0.880940514,0.56479844,0.30877173
SP02,2013,0.940956333,0.537067265,0.317845839
SP02,2014,0.939234077,0.574401944,0.348072568
SP02,2015,0.823338938,0.464534702,0.233208159
SP02,2016,0.87542223,0.540948187,0.271124846
SP02,2017,0.848771397,0.542611911,0.317443479
SP02,2018,0.843211242,0.487135665,0.235177008
SP02,2019,0.882154871,0.559738258,0.26214948
SP03,2007,0.964949204,0.770353233,0.63334424
SP03,2008,0.942829461,0.745904779,0.567083006
SP03,2009,0.939597345,0.762380804,0.617134011
SP03,2010,0.939436915,0.742715573,0.588945441
SP03,2011,0.939513416,0.782004265,0.632750467
SP03,2012,0.935388031,0.745023705,0.589098089
SP03,2013,0.927910014,0.751171795,0.616475649
SP03,2014,0.936645338,0.768973577,0.628283321
SP03,2015,0.936447939,0.774715026,0.623460582
SP03,2016,0.947134202,0.762473217,0.618585313
SP03,2017,0.948439781,0.766598499,0.614243538
SP03,2018,0.932862237,0.747676482,0.626053842
SP03,2019,0.933583038,0.781400277,0.635243993
SP04,2007,0.827039752,0.489642767,0.286327111
SP04,2008,0.841796861,0.517467605,0.294970082
SP04,2009,0.826610113,0.462591505,0.292931901
SP04,2010,0.837708405,0.470248563,0.278083238
SP04,2011,0.837813678,0.515497958,0.317215096
SP04,2012,0.89506028,0.51910284,0.304236905
SP04,2013,0.846760968,0.507470173,0.296239809
SP04,2014,0.887308629,0.520665595,0.339221364
SP04,2015,0.830112095,0.514574037,0.316289352
SP04,2016,0.873323248,0.536144792,0.326711627
SP04,2017,0.848961216,0.555886228,0.32360421
SP04,2018,0.830580475,0.486116914,0.329191916
SP04,2019,0.822723374,0.424185144,0.289974204
SP05,2007,0.87720265,0.524315248,0.290088338
SP05,2008,0.86635984,0.570892757,0.265996402
SP05,2009,0.853279697,0.486609718,0.297925222
SP05,2010,0.892344997,0.502417553,0.307272971
SP05,2011,0.838610794,0.534262797,0.319781629
SP05,2012,0.824080337,0.468465986,0.261860501
SP05,2013,0.89467284,0.51424741,0.321720254
SP05,2014,0.854959546,0.539568745,0.314093588
SP05,2015,0.843718048,0.540128175,0.266744237
SP05,2016,0.873059252,0.502222679,0.301069216
SP05,2017,0.850223862,0.514664242,0.280919945
SP05,2018,0.841128698,0.501291029,0.280684922
SP05,2019,0.833741998,0.482261009,0.253771
SP06,2007,0.819230588,0.442408799,0.227214641
SP06,2008,0.910254571,0.487250947,0.242981286
SP06,2009,0.81579382,0.523376093,0.240075099
SP06,2010,0.844643011,0.472351059,0.208274638
SP06,2011,0.877655815,0.557670057,0.269786533
SP06,2012,0.873068878,0.523635253,0.25481642
SP06,2013,0.809810546,0.511860579,0.236447152
SP06,2014,0.87562846,0.544197938,0.240020721
SP06,2015,0.802018621,0.537265706,0.222856557
SP06,2016,0.792316624,0.49861588,0.173460035
SP06,2017,0.880659272,0.478535283,0.179980707
SP06,2018,0.798889554,0.432285801,0.209052116
SP06,2019,0.79335811,0.369537641,0.160682978
SP07,2012,0.884959304,0.391311077,0.259712051
SP07,2013,0.856828197,0.46007142,0.265690051
SP07,2014,0.785258773,0.3840977,0.254923376
SP07,2015,0.859543622,0.418450115,0.259952119
SP07,2016,0.790584214,0.397455815,0.238096652
SP07,2017,0.814996977,0.407479297,0.245678793
SP07,2018,0.824460677,0.445132893,0.255651427
SP07,2019,0.805191708,0.418965846,0.248904394
SW01,2007,0.671289797,0.235570022,0.139174866
SW01,2008,0.702986234,0.276511008,0.182681314
SW01,2009,0.73252463,0.246251658,0.156200005
SW01,2010,0.741988983,0.259929158,0.167150395
SW01,2011,0.650115105,0.215294636,0.142729031
SW01,2012,0.678200338,0.220973607,0.182401437
SW01,2013,0.707769739,0.29578213,0.176199035
SW01,2014,0.712207025,0.254715346,0.179984639
SW02,2007,0.764446872,0.247647386,0.172797474
SW02,2008,0.773406142,0.271754577,0.184170254
SW02,2009,0.776816893,0.268805204,0.182239476
SW02,2010,0.788215997,0.264172505,0.194476397
SW02,2012,0.735558837,0.243920822,0.177120946
SW02,2013,0.710050757,0.219433816,0.161388411
SW02,2014,0.783589717,0.25209164,0.165312522
SW03,2007,0.867122087,0.543231636,0.535724809
SW03,2008,0.860954378,0.533174177,0.521052478
SW03,2009,0.861143708,0.529170899,0.536573867
SW03,2010,0.86070524,0.517704336,0.52964364
SW03,2011,0.863435575,0.527081427,0.531552049
SW03,2012,0.869652673,0.533987528,0.546344401
SW03,2013,0.852891912,0.510246552,0.531264527
SW03,2014,0.861402025,0.515533021,0.517432421
SW03,2015,0.851219754,0.507437552,0.527941002
SW03,2016,0.855079059,0.524306394,0.537258716
SW03,2017,0.853962223,0.5195519,0.534132908
SW03,2018,0.85766533,0.528791342,0.521440384
SW04,2007,0.746433146,0.289552707,0.326482866
SW04,2008,0.779157397,0.366125869,0.301159429
SW04,2009,0.711274195,0.282792212,0.300749056
SW04,2010,0.737123284,0.285816285,0.313140059
SW04,2011,0.729831959,0.305275933,0.275269432
SW04,2012,0.710437303,0.28358348,0.230649403
SW04,2013,0.729103528,0.278547955,0.324815223
SW04,2014,0.698685256,0.259794153,0.269626298
SW04,2015,0.723268589,0.29530557,0.29956565
SW04,2016,0.750674613,0.332211222,0.336205501
SW04,2017,0.761802176,0.354646099,0.302917899
SW05,2005,0.79352689,0.387803033,0.381423613
SW05,2006,0.79905122,0.399633622,0.376506597
SW05,2007,0.797343906,0.41991901,0.361628302
SW05,2008,0.795275328,0.413259892,0.344075921
SW05,2009,0.794245711,0.388028932,0.365484661
SW05,2010,0.795813671,0.401948585,0.359888117
SW05,2011,0.79764283,0.402654623,0.342870483
SW05,2012,0.796021515,0.386074522,0.369610486
SW05,2013,0.801426244,0.413171965,0.377083333
SW05,2014,0.799892679,0.413342314,0.393243885
SW05,2015,0.805200483,0.416566991,0.363143561
SW05,2016,0.803718366,0.411332545,0.348735509
SW05,2017,0.799499822,0.415928924,0.344186593
SW05,2018,0.797690018,0.435153073,0.389823758
SW05,2019,0.79181782,0.396024204,0.374165568
UK01,2008,0.909545808,0.707974733,0.506147571
UK01,2009,0.892200641,0.67522936,0.456164165
UK01,2010,0.910133832,0.720474398,0.489072553
UK01,2011,0.898111162,0.716336951,0.498620535
UK01,2012,0.899486497,0.72084075,0.495852466
UK01,2013,0.896515581,0.714765949,0.479004599
UK01,2014,0.891895561,0.703429524,0.464411803
UK01,2015,0.871258219,0.681456382,0.410152072
UK01,2016,0.887285599,0.670777268,0.469071033
UK01,2017,0.929210856,0.7354093,0.507269001
UK02,2013,0.815233918,0.451051232,0.233855824
UK02,2014,0.834048732,0.447060465,0.249250772
UK02,2015,0.762693225,0.483467222,0.261938234
UK02,2016,0.795502727,0.504895221,0.273040825
UK02,2017,0.845800386,0.584255355,0.320071026
UK02,2018,0.838250389,0.473564202,0.258312882
UK02,2019,0.842563681,0.559601886,0.271205473
